attr0,attr1,attr2,attr3,cls
5.72211154724,-6.54767332227,0.0383609451329,0.852875689791,0
7.84762326387,-10.6547695769,0.925903580723,0.439627256958,0
5.63143397276,-5.09718373437,0.675646664107,0.714623020767,0
2.88023105401,-6.50019140312,0.642812814016,0.840150467355,0
8.57516720843,-6.50315058443,0.688214110114,0.298103740235,0
-8.4832233631,-1.59020965875,0.0447799963583,0.0601975838453,1
-10.0865726342,-0.372817976532,0.571567692754,0.192494596404,1
7.73545908688,-7.50748816792,0.513140628767,0.631029381811,0
7.81193261432,-6.98423752019,0.727806117246,0.977131641475,0
8.03396299348,-5.78494515811,0.428247520817,0.910571474982,0
5.10575469881,-6.03588441474,0.224037892289,0.378839883084,0
6.52871520795,-5.36066066281,0.369334705053,0.159911409421,0
5.37968272485,-8.56252618712,0.708458544602,0.176099626139,0
-7.37904428698,-0.736693862071,0.571008726041,0.0923857180239,1
-9.45993192648,0.128563362093,0.510547902587,0.538086955733,1
-11.3617573498,-4.99097903098,0.260122174247,0.321925867931,1
6.36029215809,-7.5003456774,0.00397814933348,0.448474838107,0
-10.4197163614,-3.93392377016,0.936704081147,0.392280888296,1
-9.87761446751,-0.683602770546,0.754825652023,0.65048085089,1
-7.93012120375,-3.45573714803,0.332188172868,0.828315554497,1
5.59232587264,-7.77502457411,0.783457423258,0.528365792777,0
7.32703499391,-4.10969099508,0.563423316384,0.816859180678,0
5.2940622095,-6.13465259898,0.195798715562,0.85137064727,0
7.08199359676,-9.06954696475,0.212837314763,0.275052449495,0
-7.62810299339,-2.36997010624,0.0384946139774,0.083791558174,1
5.42198451702,-4.15504535338,0.235739544759,0.35773405572,0
-7.41583552103,-1.2479264495,0.0783324305083,0.516372491466,1
-11.1539894414,-4.39325686435,0.407241146842,0.769441448875,1
-8.5640120428,-2.32750158793,0.83573343496,0.0118260657646,1
-9.8099244029,-2.33676954502,0.927317352014,0.433224887249,1
-7.8971858109,-2.46764118537,0.666208298439,0.620569509475,1
7.48703566857,-6.29694348554,0.535214994481,0.845302943434,0
-8.1191759418,-1.21439658612,0.0704928611728,0.805312435239,1
5.6852404445,-6.53105715955,0.22112456517,0.0565899054737,0
